"MTU","Out Area","In Area","Physical Flow (MW)"
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Austria (AT)","2665.48"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Belgium (BE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Belgium (BE)","Germany (DE)","124.15"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Czech Republic (CZ)","1717.59"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Denmark (DK)","476.37"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Denmark (DK)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","France (FR)","1611.35"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","France (FR)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Luxembourg (LU)","305.24"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Luxembourg (LU)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Netherlands (NL)","1084.11"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Netherlands (NL)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Norway (NO)","1362.40"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Norway (NO)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Poland (PL)","1608.38"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Poland (PL)","Germany (DE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Sweden (SE)","0.00"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Sweden (SE)","Germany (DE)","196.87"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Germany (DE)","Switzerland (CH)","3940.32"
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","Switzerland (CH)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Austria (AT)","2707.14"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Austria (AT)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Belgium (BE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Belgium (BE)","Germany (DE)","174.66"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Czech Republic (CZ)","1713.81"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Czech Republic (CZ)","Germany (DE)","0.00"
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","Germany (DE)","Denmark (DK)","1153.48"
